year,state_fips,state_usps,n_unweighted,brfss_lifesat_mean,brfss_lifesat_n,brfss_lifesat_share_very_satisfied,brfss_lifesat_share_satisfied,brfss_lifesat_share_dissatisfied,brfss_lifesat_share_very_dissatisfied,brfss_menthlth_mean_days,brfss_menthlth_n,brfss_freq_mental_distress_share,brfss_genhlth_mean,brfss_fair_poor_health_share
2005,1,AL,3197,1.6231391838854574,3047.0,0.4550336905132099,0.4816870708784932,0.04838560281792626,0.014893635790370677,3.8418386147620107,3131,0.12233279107823616,2.6306040280314504,0.21032546373607292
2005,2,AK,2813,1.6011333714681284,2713.0,0.4529355197864816,0.5017556942954087,0.03654868058160977,0.00876010533650007,3.130121468823597,2769,0.0959963528342371,2.3837720668839797,0.12778056561120144
2005,4,AZ,4710,1.6007918196225743,4451.0,0.46723512216493845,0.47914269573243445,0.03921742241774107,0.014404759684885924,2.905131413954786,4636,0.07972432987008767,2.4340678614201,0.15545234463336266
2005,5,AR,5280,1.6040355927011536,5029.0,0.4568075466185655,0.49052507438899934,0.044491618665150966,0.008175760327284159,3.754584988367555,5139,0.11453985200413633,2.6343650866088697,0.2160289609922
2005,6,CA,6134,1.6461487187524724,5720.0,0.41900901045078,0.5248724062451937,0.04707943740479992,0.009039145899226287,3.5123716712533963,6084,0.10289882063668493,2.467101483537814,0.17589712010804548
2005,8,CO,5979,1.589710538997952,5744.0,0.4562966294260638,0.5031849968067662,0.0350295791103243,0.0054887946568457045,3.046097255723387,5892,0.08892278861704389,2.3021500436013507,0.12661014424246056
2005,9,CT,5254,1.5990808944500003,4968.0,0.45679835913357403,0.49659093581501956,0.03734215651923849,0.009268548532167877,2.9583793564660166,5166,0.09004109955141429,2.293639288702803,0.12229839238416682
2005,10,DE,4192,1.5738017850238153,4135.0,0.476801168357882,0.4796202485118695,0.03655421287880002,0.007024370251448488,3.156049286452371,4138,0.09374611643533702,2.39176101746361,0.12957937808556932
2005,11,DC,3743,1.627791060729067,3489.0,0.44519918677122994,0.4922870827958211,0.0520372133656012,0.010476517067347828,2.7427706894215347,3700,0.07437356732187379,2.288034096000627,0.12534768810845126
2005,12,FL,8190,1.5925146611380927,7799.0,0.48281123575585055,0.4561804173139544,0.04669079696644682,0.014317549963748247,3.4590263950131974,8019,0.1111397074485657,2.465340813017465,0.1772984425797314
2005,13,GA,6064,1.6208795612794709,5821.0,0.45065582643944047,0.4909327964133955,0.045287366575416585,0.013124010571747405,3.6156706233606997,5945,0.11105207937539503,2.4707804121922887,0.16662941107674947
2005,15,HI,6416,1.5636885883600107,6198.0,0.471413536743335,0.49762495516192107,0.02682089108614204,0.004140617008601872,2.856356501681106,6343,0.08471936324560395,2.4434958564275018,0.1363925436975997
2005,16,ID,5734,1.5783693045683551,5483.0,0.4695959910971916,0.4909517999352664,0.030939122269537628,0.008513086698004418,3.2259143529973064,5618,0.09699546876529101,2.437989474426716,0.14913961820930152
2005,17,IL,5077,1.6032085178721092,4946.0,0.4611028126808819,0.4845788944820795,0.04432525512108665,0.009993037715952129,3.2171001868791707,5024,0.091336657117278,2.4761298638512175,0.1573681825439484
2005,18,IN,5635,1.6537660097306657,5330.0,0.41350192280972475,0.5295060682560623,0.04671608532803582,0.010275923606177302,3.71718160427699,5530,0.10971983202106546,2.526663833172518,0.16745555779541063
2005,19,IA,5051,1.6071740506558132,4871.0,0.4512877546968182,0.49792447482120095,0.043113735611330445,0.00767403487065047,2.926965607004976,4969,0.08847630413217328,2.384197823475064,0.1218215736922455
2005,20,KS,8626,1.5987989068660682,8430.0,0.45638788951961523,0.4949540431486001,0.04212933827788599,0.006528729053898746,2.8453214605556547,8518,0.08830155081134937,2.393202821202652,0.13092321684071753
2005,21,KY,6628,1.6499550132623293,6140.0,0.4309974544732092,0.5001207114995132,0.05681120031901694,0.01207063370826074,4.436449543772126,6391,0.15006421939845613,2.6831111176985862,0.23712049246902928
2005,22,LA,2936,1.5991255605149324,2819.0,0.4834827723429718,0.4519243558110005,0.04657741083415132,0.018015461011876375,2.778516851538069,2887,0.08884294094796531,2.62950510045155,0.21206374535657346
2005,23,ME,3960,1.5919350633361067,3747.0,0.4677159943789992,0.4851505188349543,0.034615915856987284,0.012517570929059262,3.394862450521151,3905,0.10695183138890263,2.418230604808703,0.1474280362715663
2005,24,MD,8632,1.5937896646853498,8053.0,0.4685036014979618,0.480159888467828,0.04037975388510859,0.010956756149101628,3.253878858246385,8513,0.0952020480977738,2.312186738725413,0.1192446113945697
2005,25,MA,8906,1.6253254224106288,8236.0,0.4497112439507347,0.48424501129552616,0.05705082314611418,0.00899292160762482,3.172812139707597,8763,0.0943648251227816,2.3275974790369776,0.13223865127362971
2005,26,MI,12136,1.654393268351907,11841.0,0.4204267040989312,0.5160338380471108,0.052258943257078014,0.011280514596880054,3.5667537753205565,11941,0.10789798410543204,2.4667215088239187,0.15136311894744256
2005,27,MN,2829,1.585196489296935,2790.0,0.4746230317484583,0.4753596240954249,0.04021516726684013,0.009802176889276617,3.0065933182167632,2784,0.08476483902892853,2.296654644639485,0.11292005827792584
2005,28,MS,4439,1.6364888810050424,4233.0,0.4449808871106737,0.48924642670045515,0.050075604262026334,0.015697081926844866,4.069538133537024,4341,0.13021049915541055,2.6662984747180345,0.23601671605227795
2005,29,MO,5164,1.6554924012310477,4916.0,0.41428414413961484,0.5247197767128401,0.05221561292442784,0.008780466223117341,3.391709953668056,5108,0.10263744367604408,2.5377551635131574,0.1755835627417064
