AL,1982,3,107.11
AL,1982,4,114.86
AL,1983,1,114.44
AL,1983,2,113.97
AL,1983,3,116.75
AL,1983,4,113.42
AL,1984,1,121.93
AL,1984,2,120.34
AL,1984,3,124.26
AL,1984,4,120.84
AL,1985,1,120.47
AL,1985,2,124.38
AL,1985,3,126.83
AL,1985,4,127.71
AL,1986,1,128.92
AL,1986,2,131.42
AL,1986,3,132.99
AL,1986,4,135.43
AL,1987,1,137.54
AL,1987,2,138.72
AL,1987,3,139.25
AL,1987,4,138.01
AL,1988,1,141.62
AL,1988,2,142.69
AL,1988,3,142.2
AL,1988,4,140.73
AL,1989,1,141.09
AL,1989,2,142.87
AL,1989,3,145.06
AL,1989,4,146.14
AL,1990,1,145.06
AL,1990,2,146.18
AL,1990,3,146.79
AL,1990,4,146.89
AL,1991,1,148.13
AL,1991,2,150.37
AL,1991,3,151.2
AL,1991,4,153.7
AL,1992,1,154.94
AL,1992,2,155.14
AL,1992,3,158.07
AL,1992,4,159.38
AL,1993,1,160.46
AL,1993,2,162.26
AL,1993,3,165.08
AL,1993,4,166.5
AL,1994,1,167.56
AL,1994,2,169.67
AL,1994,3,170.28
AL,1994,4,170.34
AL,1995,1,172.08
AL,1995,2,175.45
AL,1995,3,178.24
AL,1995,4,179.71
AL,1996,1,182.76
AL,1996,2,182.72
AL,1996,3,183.04
AL,1996,4,185.27
AL,1997,1,187.41
AL,1997,2,188.62
AL,1997,3,191.54
AL,1997,4,193.99
AL,1998,1,197.18
AL,1998,2,198.55
AL,1998,3,200.86
AL,1998,4,203.36
AL,1999,1,204.03
AL,1999,2,204.84
AL,1999,3,205.16
AL,1999,4,206.75
AL,2000,1,207.47
AL,2000,2,209.24
AL,2000,3,210.91
AL,2000,4,213.58
AL,2001,1,219.82
AL,2001,2,220.79
AL,2001,3,222.33
AL,2001,4,224.82
AL,2002,1,225.24
AL,2002,2,226.34
AL,2002,3,229.74
AL,2002,4,232.41
AL,2003,1,234.74
AL,2003,2,236.88
AL,2003,3,238.48
AL,2003,4,239.88
AL,2004,1,242.27
AL,2004,2,243.81
AL,2004,3,248.24
AL,2004,4,251.96
AL,2005,1,255.23
AL,2005,2,261.35
AL,2005,3,266.87
