state,year,suicide_rate,hpi_growth,log_suicide
CA,2011,10.4,-5.0274786208936,2.341805806147327
CA,2012,10.0,3.5135065002465327,2.302585092994046
CA,2013,10.2,15.760447218670867,2.322387720290225
CA,2014,10.5,8.259344276495305,2.3513752571634776
CA,2015,10.3,7.40918546967515,2.33214389523559
CA,2016,10.5,6.629916567342065,2.3513752571634776
CA,2017,10.5,6.696241441944961,2.3513752571634776
CA,2018,11.5,4.945162874447551,2.4423470353692043
CA,2019,11.1,3.423749434574397,2.4069451083182885
CA,2020,10.5,5.433897384852071,2.3513752571634776
CA,2021,10.8,19.217840335293033,2.379546134130174
CA,2022,11.0,6.7059416394701366,2.3978952727983707
CO,1999,13.7,,2.617395832834079
CO,2000,14.3,11.540768584796268,2.660259537265861
CO,2001,16.5,7.675760943605914,2.803360380906535
CO,2002,16.2,4.371712059665733,2.785011242238338
CO,2003,16.1,2.335151689156856,2.778819271990417
CO,2004,17.2,3.952741669004656,2.8449093838194077
CO,2005,17.2,5.178876660569154,2.8449093838194077
CO,2006,15.3,2.1953583851285874,2.72785282839839
CO,2007,16.6,0.1757616337462408,2.8094026953624978
CO,2008,16.1,-1.79630712674409,2.778819271990417
CO,2009,18.7,-2.419034654869268,2.928523523860541
CO,2010,16.8,-1.5548257723269954,2.8213788864092133
CO,2011,17.5,-2.3941666174647214,2.862200880929469
CO,2012,19.7,2.2714212261440325,2.9806186357439426
CO,2013,18.6,6.659963328798724,2.923161580719156
CO,2014,19.9,8.775578106804183,2.990719731730447
CO,2015,19.5,11.483265784711085,2.970414465569701
CO,2016,20.5,9.774556429486015,3.0204248861443626
CO,2017,20.3,8.387661160983928,3.0106208860477417
CO,2018,22.0,7.248549137168991,3.091042453358316
CO,2019,21.7,4.800215015230247,3.077312260546414
CO,2020,21.3,6.018225649267395,3.0587070727153796
CO,2021,21.8,19.893886371333203,3.0819099697950434
CO,2022,22.2,8.230546775169811,3.100092288878234
CT,1999,7.9,,2.066862759472976
CT,2000,8.8,8.353808353808345,2.174751721484161
CT,2001,8.1,9.12788395781594,2.091864061678393
CT,2002,7.3,10.188330749694895,1.9878743481543453
CT,2003,7.5,9.252274904214564,2.0149030205422647
CT,2004,8.2,12.490753171319756,2.1041341542702074
CT,2005,8.1,11.098933216425545,2.091864061678393
CT,2006,8.0,2.4750630275128804,2.079441541679836
CT,2007,7.3,-1.0546808146500108,1.9878743481543453
CT,2008,8.5,-6.296080084754929,2.1400661634962708
CT,2009,8.5,-5.235469207872812,2.1400661634962708
CT,2010,9.4,-0.9982955928901748,2.2407096892759584
CT,2011,9.8,-3.347270044269557,2.2823823856765264
CT,2012,9.9,-2.1043792462912547,2.2925347571405443
CT,2013,8.7,-1.905281763360378,2.163323025660538
