state,year,mean_roa,median_roa,roa_std,roa_iqr,n_firms
AB,1989,-0.032541084508871665,0.07323874705290484,0.23490753206364728,0.13243887722174214,10
AB,1991,-0.014064123823549712,0.024668572069395225,0.2553591174591279,0.19636924326302466,10
AB,1992,0.03375764338538589,0.039992789126782745,0.14449983837306643,0.2067572998245628,12
AB,1993,-0.015344682915582867,0.07747874796350136,0.3431501709719438,0.27005882658986313,12
AB,1994,0.010025042666342398,0.05986572939885118,0.15627886960139203,0.2585909779117407,12
AB,1995,0.11816724574054528,0.10683336993716112,0.14447762578487727,0.15277946302532786,12
AB,1996,0.11334289502586815,0.13068995485356097,0.1608973201789972,0.2551812903839117,12
AB,1997,0.10628655041435899,0.18665948662717644,0.20833451449309381,0.09504303748860138,11
AB,1998,-0.09523428229624005,0.07470237793481971,0.3895982063262551,0.22791724013606465,12
AB,1999,0.056658577814138016,0.04755748669029952,0.12420011552788944,0.14354286878216765,14
AB,2000,0.0509923257543483,0.04546865923852775,0.2624174939144819,0.14082860141210338,16
AB,2001,-0.03468884038257939,0.014223445744436798,0.26495994852568744,0.3738440631407929,17
AB,2002,-0.06622449580909416,-0.0020946795140343527,0.3530225019698127,0.2274025419891046,17
AB,2003,-0.005705919120445489,0.07867494824016563,0.33662258602954254,0.2653167425981651,17
AB,2004,0.026201493711095876,0.056171639424006096,0.319747630588929,0.3906627387950795,20
AB,2005,0.0007083088683082881,-0.002612242627471714,0.28779865226454665,0.37745773555629136,18
AB,2006,-0.027239265438334968,0.0038995005240248888,0.2978147812183315,0.4269243082053102,19
AB,2007,-0.024364081769750228,-0.03651804670912951,0.16800023071879883,0.24158060054322825,21
AB,2008,-0.018336605970461172,-0.08837209302325583,0.25091477307096893,0.3806201546264846,19
AB,2009,-0.013597556097270504,-0.027867549555879095,0.17646394629129947,0.2174281857614549,16
AB,2010,0.028096114373112466,0.031089562370684984,0.18229591363127,0.2162300537070255,14
AB,2011,0.051175626703448704,0.05135944805886197,0.15411482984572356,0.2175740714541824,18
AB,2012,0.059716785023915156,0.0646642643071563,0.23050377714669062,0.19432131343176998,22
AB,2013,-0.06999730533471958,-0.022839443356145215,0.3056608864769668,0.23460910738000618,25
AB,2014,-0.008393721049859932,0.002519301097114994,0.25161221852477667,0.21777356111996587,23
AB,2015,-0.10181465129484107,-0.034068441064638785,0.26350532351157857,0.2614999215937147,19
AB,2016,-0.12554013880450754,-0.04513558093862276,0.2677094495649271,0.3939239751628415,18
AB,2017,-0.048977826461406124,-0.027197949103842847,0.19890237643907563,0.3016861428037133,14
AB,2018,-0.0319640707082977,-0.00815876245837944,0.2540139764821005,0.12879631087683546,16
AB,2019,-0.13582331834667194,-0.010355066413380215,0.348868335313179,0.35725190231480114,16
AB,2020,-0.12665612079921243,-0.03757088862534168,0.30723308655217524,0.39507725729488413,22
AB,2021,0.1018954084532462,0.15637189025642867,0.25622755099087696,0.3462596437579065,24
AB,2022,0.04841531846389218,0.15154236938459548,0.4688942157422066,0.5071693357797188,26
AB,2023,0.021074598897377866,0.05642758091641342,0.2741669826309757,0.2914346928287743,23
AB,2024,-0.012037903561687944,0.0879598175356258,0.3713100768823003,0.17629820148789022,24
AL,1966,0.19694939904187084,0.20133332536118237,0.08796127808048171,0.12126144485066073,12
AL,1967,0.16302105750702486,0.16375118937142455,0.07342559745965255,0.061587771403252764,12
AL,1968,0.15315789707683689,0.15050857451722274,0.06793561996302215,0.058819072089074304,15
AL,1969,0.13617291983703042,0.14040886242679385,0.07820506260762758,0.06024669636841659,16
AL,1970,0.10732222251673074,0.10848646039322545,0.0733814474884997,0.0650145513429668,17
AL,1971,0.12357321387735601,0.10955596206615062,0.0662451770586131,0.09346228477143825,18
AL,1972,0.13105164936539604,0.12736359330041047,0.06825390080256721,0.08649651989377516,20
AL,1973,0.14616315181007636,0.1422631689150788,0.09046380595538905,0.0894791396340186,27
AL,1974,0.11392496769718408,0.14074528403099018,0.12161683984466626,0.11216171324355664,38
AL,1975,0.12753000855328006,0.14909808342728298,0.1261899556420962,0.12078564771322275,39
AL,1976,0.14245695911141654,0.1402593673733072,0.0851801210872737,0.11682919503878307,37
AL,1977,0.138033877307638,0.14833300469905086,0.11175373719815254,0.09657660062321827,40
AL,1978,0.13217046295402413,0.14477128256263244,0.0809117042425369,0.11241437458510954,39
AL,1979,0.11965473786635879,0.12913827583602228,0.1326684846865196,0.11878129121282065,38
AL,1980,0.11666658650350224,0.1149179965785852,0.0982696608145394,0.15326053414811802,36
AL,1981,0.11840201300390377,0.10697926109028441,0.09820039553473492,0.13399771193749568,33
AL,1982,0.134411913351769,0.12086569679707862,0.09819716044084141,0.09881858150473528,37
AL,1983,0.12145575713344638,0.13207609540022808,0.1071807340190108,0.1631987534799131,39
AL,1984,0.1314329462470108,0.15640581424828867,0.121932487846389,0.16916019872850152,41
AL,1985,0.14073779190000943,0.1481658240981118,0.12629154412446908,0.14326186032510443,44
AL,1986,0.12401457227862865,0.14470373379333853,0.12924779563045807,0.15874686125072127,44
AL,1987,0.1097416506775863,0.12743536526345528,0.10633619402810934,0.14405048194732104,44
AL,1988,0.0872661552655427,0.11029757857852622,0.13133614747315778,0.11994647592384382,45
AL,1989,0.11600814203914009,0.11838700891945259,0.0813860472966078,0.08453830721869504,43
AL,1990,0.10733646258087359,0.11459973596729811,0.09858072040636913,0.07915203743061153,43
AL,1991,0.09745081097715079,0.13168922599840757,0.1124820493968654,0.08333641324003435,43
AL,1992,0.12695538052575764,0.13672823607329457,0.06658757760536325,0.0698203773831554,45
