state,year,mean_mb,median_mb,std_mb,n_obs,mean_pe,median_pe,total_mktcap,mean_mktcap,total_emp,n_firms,mb_change,pe_change,mktcap_change,log_mb_change,log_mktcap_change
AB,2006,6.491047642865477,4.484135926238918,5.500465094520219,17,32.25781493916184,14.855833297777977,11942.463046,702.4978262352942,11.533999999999999,17,-29.156167448683835,-19.98834265598243,-1.154581003152788,-34.46922730219835,-1.1612980421082497
AB,2007,8.79207198109608,3.468582464895343,13.69399575153095,18,20.300013320265467,23.862732223696035,18517.167439999997,1028.7315244444444,11.243,18,35.44919810840912,-37.06947182085568,55.053169255584365,30.34264623217906,43.85978995660711
AB,2008,2.434598588739841,1.301939090024331,2.6734374795585776,15,24.015784105276804,4.662151444976684,7360.716780000001,490.71445200000005,15.108999999999998,15,-69.71631810875708,18.304277570605777,-60.24922924172682,-119.45781805214149,-92.25409549304987
AB,2009,3.4869387058098575,1.8877876556226918,6.5603228643254266,14,39.01527693049892,27.81960086520947,31690.7503994,2263.6250285285714,14.605,14,43.22437883342043,62.45681073526303,202.25133109034746,35.92422972988588,110.60859596795339
AB,2010,1.9419811149508845,1.450940044125026,1.3997230936814602,12,35.65908690187417,35.203309078855256,19080.1364715,1590.0113726250001,15.406,12,-44.30699020561503,-8.602245819255383,-39.792727432982325,-58.531554433812175,-50.737703420877445
AB,2011,1.8371875528615504,1.2553283071532049,1.628842171214078,13,44.17020060703019,13.660046780656899,27392.678855000002,2107.129142692308,20.364,13,-5.396219421628334,23.868007973890926,43.56647236730431,-5.547274689822412,36.1627964029168
AB,2012,4.471199372122095,1.5299911588599648,7.282199398335895,14,27.898405755357192,15.586003572181138,32240.034679,2302.8596199285716,19.136,14,143.3719608625632,-36.83885204968518,17.69580788231382,88.94207901586637,16.29332106711452
AB,2013,4.776591476847095,1.7642261908558283,11.356501185588968,18,11.479701430623717,11.474231761653646,35112.371178,1950.6872876666666,21.568,18,6.8302054842179105,-58.85176546900237,8.90922273377992,6.6070523437085305,8.534453029853317
AB,2014,3.463915485567685,1.2159875399326612,6.23238660547252,20,18.361437457928123,19.103193277310925,28750.0395646,1437.50197823,21.563,20,-27.481437289375933,59.94699486649024,-18.11991443456369,-32.13276195115222,-19.99143801853336
AB,2015,1.0291519581024633,0.6548221653657245,1.0906739273996497,16,8.108803624389076,9.395615497361735,14392.422912319,899.5264320199375,17.451,16,-69.71631810875708,-55.83786049992591,-49.93946745714942,-119.45781805214149,-69.19372619497466
AB,2016,1.4817900243529631,0.6965783255999317,1.9015836722694335,15,15.983118943036732,15.983118943036732,16449.479958149997,1096.6319972099998,17.006,15,43.98165525381381,97.10822561991586,14.292638969567006,36.4515711401858,13.359198177267473
AB,2017,2.163925850009552,1.2714673119737014,3.051507355341196,12,31.641342293906813,31.641342293906813,17740.4348615,1478.3695717916669,16.095000000000002,12,46.034580773645686,97.96725787172976,7.847998274926571,37.86732622886309,7.555262640525662
